South America,2021-01-01,53,1,47568
Asia,2021-01-01,53,1,75315
Europe,2021-01-01,53,1,228533
North America,2021-01-01,53,1,187426
Oceania,2021-01-01,53,1,35
Africa,2021-01-02,53,1,22890
South America,2021-01-02,53,1,39297
Oceania,2021-01-02,53,1,43
North America,2021-01-02,53,1,312718
Europe,2021-01-02,53,1,159785
Asia,2021-01-02,53,1,70905
North America,2021-01-03,53,1,222896
South America,2021-01-03,53,1,39702
Africa,2021-01-03,53,1,21995
Europe,2021-01-03,53,1,168700
Oceania,2021-01-03,53,1,39
Asia,2021-01-03,53,1,69629
South America,2021-01-04,1,1,45506
North America,2021-01-04,1,1,206959
Europe,2021-01-04,1,1,203852
Asia,2021-01-04,1,1,72182
Africa,2021-01-04,1,1,21779
Oceania,2021-01-04,1,1,18
Asia,2021-01-05,1,1,82498
Oceania,2021-01-05,1,1,23
South America,2021-01-05,1,1,94346
Africa,2021-01-05,1,1,26841
Europe,2021-01-05,1,1,283135
North America,2021-01-05,1,1,256956
Oceania,2021-01-06,1,1,12
Africa,2021-01-06,1,1,35797
North America,2021-01-06,1,1,288367
South America,2021-01-06,1,1,103776
Asia,2021-01-06,1,1,87679
Europe,2021-01-06,1,1,275700
South America,2021-01-07,1,1,128346
Oceania,2021-01-07,1,1,25
Asia,2021-01-07,1,1,87705
North America,2021-01-07,1,1,319325
Europe,2021-01-07,1,1,321892
Africa,2021-01-07,1,1,35429
North America,2021-01-08,1,1,335767
Africa,2021-01-08,1,1,36440
South America,2021-01-08,1,1,97114
Europe,2021-01-08,1,1,280113
Oceania,2021-01-08,1,1,23
Asia,2021-01-08,1,1,67529
Oceania,2021-01-09,1,1,44
Africa,2021-01-09,1,1,35072
North America,2021-01-09,1,1,292207
South America,2021-01-09,1,1,98686
Asia,2021-01-09,1,1,105026
Europe,2021-01-09,1,1,231817
North America,2021-01-10,1,1,236079
South America,2021-01-10,1,1,61587
Asia,2021-01-10,1,1,76503
Africa,2021-01-10,1,1,31638
Oceania,2021-01-10,1,1,22
Europe,2021-01-10,1,1,184838
Europe,2021-01-11,2,1,213711
South America,2021-01-11,2,1,66290
Africa,2021-01-11,2,1,28004
Asia,2021-01-11,2,1,74355
Oceania,2021-01-11,2,1,28
North America,2021-01-11,2,1,234199
Africa,2021-01-12,2,1,26065
North America,2021-01-12,2,1,249982
