Asia,2021-01-01,53,1,353055
Europe,2021-01-01,53,1,156589
North America,2021-01-01,53,1,427258
South America,2021-01-01,53,1,11563
Asia,2021-01-02,53,1,403060
Europe,2021-01-02,53,1,158559
North America,2021-01-02,53,1,445399
South America,2021-01-02,53,1,8820
Asia,2021-01-03,53,1,454029
Europe,2021-01-03,53,1,148420
North America,2021-01-03,53,1,451622
South America,2021-01-03,53,1,7400
Asia,2021-01-04,1,1,501154
Europe,2021-01-04,1,1,175535
North America,2021-01-04,1,1,463679
South America,2021-01-04,1,1,6541
Asia,2021-01-05,1,1,541583
Europe,2021-01-05,1,1,249367
North America,2021-01-05,1,1,479269
South America,2021-01-05,1,1,8248
Asia,2021-01-06,1,1,579526
Europe,2021-01-06,1,1,250256
North America,2021-01-06,1,1,506898
South America,2021-01-06,1,1,8466
Asia,2021-01-07,1,1,662558
Europe,2021-01-07,1,1,276634
North America,2021-01-07,1,1,618686
South America,2021-01-07,1,1,8656
Europe,2021-01-08,1,1,316078
North America,2021-01-08,1,1,789572
South America,2021-01-08,1,1,10812
Asia,2021-01-08,1,1,670292
North America,2021-01-09,1,1,830227
Africa,2021-01-09,1,1,0
Asia,2021-01-09,1,1,677190
Europe,2021-01-09,1,1,323704
South America,2021-01-09,1,1,12235
Africa,2021-01-10,1,1,500
Asia,2021-01-10,1,1,631216
Europe,2021-01-10,1,1,331652
North America,2021-01-10,1,1,849679
South America,2021-01-10,1,1,13659
Africa,2021-01-11,2,1,500
Asia,2021-01-11,2,1,585213
Europe,2021-01-11,2,1,517397
North America,2021-01-11,2,1,911820
South America,2021-01-11,2,1,15024
Africa,2021-01-12,2,1,500
Asia,2021-01-12,2,1,551104
Europe,2021-01-12,2,1,571014
North America,2021-01-12,2,1,975413
South America,2021-01-12,2,1,14086
Africa,2021-01-13,2,1,500
Asia,2021-01-13,2,1,551194
Europe,2021-01-13,2,1,642314
North America,2021-01-13,2,1,1032305
South America,2021-01-13,2,1,13471
Africa,2021-01-14,2,1,600
Asia,2021-01-14,2,1,874378
Europe,2021-01-14,2,1,702428
North America,2021-01-14,2,1,1072495
South America,2021-01-14,2,1,14456
Europe,2021-01-15,2,1,750591
North America,2021-01-15,2,1,1087517
Asia,2021-01-15,2,1,947876
Africa,2021-01-15,2,1,667
South America,2021-01-15,2,1,14943
Europe,2021-01-16,2,1,767501
Africa,2021-01-16,2,1,1000
Asia,2021-01-16,2,1,1097018
North America,2021-01-16,2,1,1112926
South America,2021-01-16,2,1,14610
Africa,2021-01-17,2,1,1118
Asia,2021-01-17,2,1,1053574
Europe,2021-01-17,2,1,767499
North America,2021-01-17,2,1,1121727
South America,2021-01-17,2,1,14263
Africa,2021-01-18,3,1,1236
Asia,2021-01-18,3,1,1174855
Europe,2021-01-18,3,1,792126
North America,2021-01-18,3,1,1097460
South America,2021-01-18,3,1,16493
Africa,2021-01-19,3,1,1354
Asia,2021-01-19,3,1,1270117
Europe,2021-01-19,3,1,836557
North America,2021-01-19,3,1,1110527
South America,2021-01-19,3,1,24625
Africa,2021-01-20,3,1,1595
Asia,2021-01-20,3,1,1333232
Europe,2021-01-20,3,1,868383
North America,2021-01-20,3,1,1137856
South America,2021-01-20,3,1,53990
Africa,2021-01-21,3,1,1718
Asia,2021-01-21,3,1,1380279
Europe,2021-01-21,3,1,907220
North America,2021-01-21,3,1,1172626
South America,2021-01-21,3,1,69708
Asia,2021-01-22,3,1,1424334
Europe,2021-01-22,3,1,936856
Africa,2021-01-22,3,1,1841
North America,2021-01-22,3,1,1221155
South America,2021-01-22,3,1,111776
Africa,2021-01-23,3,1,1622
Asia,2021-01-23,3,1,1474633
Europe,2021-01-23,3,1,979908
North America,2021-01-23,3,1,1251316
South America,2021-01-23,3,1,114099
Europe,2021-01-24,3,1,994054
Africa,2021-01-24,3,1,1542
Asia,2021-01-24,3,1,1533319
North America,2021-01-24,3,1,1262792
South America,2021-01-24,3,1,105164
Africa,2021-01-25,4,1,1682
Asia,2021-01-25,4,1,1608779
Europe,2021-01-25,4,1,1020630
